"","sgCtrl_g1_rep2","sgCtrl_g1_rep3","sgCtrl_g2_rep1","sgCtrl_g2_rep2","sgCtrl_g2_rep3","sgNfe2l1_g1_rep1","sgNfe2l1_g1_rep2","sgNfe2l1_g1_rep3","sgNfe2l1_g2_rep1","sgNfe2l1_g2_rep2","sgNfe2l1_g2_rep3","sgNfe2l2_g1_rep1","sgNfe2l2_g1_rep2","sgNfe2l2_g1_rep3","sgNfe2l2_g2_rep1","sgNfe2l2_g2_rep2","sgNfe2l2_g2_rep3","doubleKO_g1_rep1","doubleKO_g1_rep2","doubleKO_g1_rep3","doubleKO_g2_rep1","doubleKO_g2_rep2","doubleKO_g2_rep3"
"Tubb2a",33.4390139937277,47.7303984071674,41.4668421100433,45.6746691294917,56.7385464744967,74.3894569898315,23.5245805144691,54.2224315523872,72.8704029358059,32.8025397754052,58.3186595300327,60.0746328593923,37.3052515346565,55.1943179345495,64.6624043672782,54.8756917658357,51.3826028921743,50.5695634989344,70.599603395004,73.6055813420364,34.6411669451067,47.5081116522705,58.3519990987961
"Psmg4",15.7360065852836,27.4811384768539,31.1001315825325,31.4997718134425,17.021563942349,26.4776033353638,30.2458892328888,33.0049583362357,38.9771922679892,30.6157037903782,32.6584493368183,23.6832687234143,44.0880245409576,27.095392440597,32.5984022016857,17.8942473149464,21.8649374009252,29.6442268786857,34.5487420869169,30.1113741853785,21.1696020220096,43.3769715085948,34.6957832479328
"Gm8231",7.8680032926418,11.5710056744648,23.3250986868993,15.7498859067213,13.2389941773826,12.6083825406494,10.0819630776296,9.42998809606734,15.2519448005175,8.74734394010806,9.33098552480523,12.7080954125638,18.6526257673282,20.0706610671089,20.8416014076351,34.5955448088964,10.9324687004626,22.6691146719361,36.0508613080871,13.3828329712793,11.5470556483689,14.4589905028649,3.15416211344844
"Prpf4b",31.4720131705672,52.0695255350917,28.5084539506548,31.4997718134425,37.8256976496645,60.5202361951172,33.6065435920987,51.8649345283704,74.5650634691968,39.3630477304863,58.3186595300327,47.3665374468285,45.7837177925329,46.1625204543505,53.4400036093208,44.1391433768679,63.4083184626831,59.2884537573713,40.557218971598,45.1670612780678,25.0186205714659,26.852410933892,48.8895127584507
"Eci2",23.6040098779254,37.6057684420107,25.916776318777,33.0747604041146,41.6082674146309,36.5643093678833,63.8524328249874,35.3624553602525,61.0077792020701,50.2972276556213,37.3239420992209,49.6771002491128,25.4353987736294,30.1059916006634,47.0272031762023,31.0166953459072,34.9838998414804,50.5695634989344,42.0593381927683,48.5127695208876,51.96175041766,43.3769715085948,28.3874590210359
"Cdyl",108.185045273825,118.602808163264,93.3003947475974,132.299041616459,117.25966271396,126.083825406494,70.5737415434072,96.6573779846902,115.236916270577,94.0339473561616,132.966543728474,107.441170306221,117.002834358695,119.420433349298,101.001606821616,103.786634426689,100.578712044256,80.21379037762,84.1186763855367,90.3341225561355,71.2068431649414,103.278503591892,99.3561065736257
"Lyrm4",21.637009054765,10.1246299651567,5.18335526375541,11.0249201347049,15.1302790598658,16.3908973028442,10.0819630776296,14.144982144101,20.33592640069,19.6815238652431,9.33098552480523,12.1304547119927,23.7397055220541,8.02826442684356,13.3600009023302,9.54359856797143,14.2122093106014,13.9502244134991,13.5190729905327,11.7099788498694,7.69803709891259,14.4589905028649,12.6166484537937
"Fars2",19.6700082316045,11.5710056744648,20.7334210550216,18.8998630880655,15.1302790598658,25.2167650812988,23.5245805144691,18.8599761921347,23.7252474674717,19.6815238652431,4.66549276240261,25.9938315256986,22.0440122704788,27.095392440597,29.3920019851264,25.051946240925,21.8649374009252,19.1815585685613,16.5233114328733,25.0928118211488,17.3205834725533,12.3934204310271,11.0395673970695
"F13a1",17.7030074084441,4.33912712792431,15.5500657912662,25.199817450754,1.89128488248322,5.04335301625976,6.72130871841973,18.8599761921347,13.5572842671267,6.56050795508104,2.33274638120131,6.35404770628188,1.69569325157529,4.01413221342178,3.20640021655925,7.15769892597858,9.83922183041635,5.23133415506218,4.50635766351089,5.01856236422975,3.84901854945629,4.13114014367569,7.88540528362109
"Ly86",72.7790304569367,83.8897911398699,57.0169079013095,67.7245093989014,64.3036860044296,70.6069422276367,47.0491610289381,63.6524196484545,96.5956504032776,50.2972276556213,67.6496450548379,113.795218012503,96.6545153397917,114.402768082521,142.684809636887,125.259731204625,111.511180744719,139.502244134991,103.646226260751,76.9512895848562,146.262704879339,125.999774382109,91.4707012900046
