"","sgCtrl_g1_rep2","sgCtrl_g1_rep3","sgCtrl_g2_rep1","sgCtrl_g2_rep2","sgCtrl_g2_rep3","sgNfe2l1_g1_rep1","sgNfe2l1_g1_rep2","sgNfe2l1_g1_rep3","sgNfe2l1_g2_rep1","sgNfe2l1_g2_rep2","sgNfe2l1_g2_rep3","sgNfe2l2_g1_rep1","sgNfe2l2_g1_rep2","sgNfe2l2_g1_rep3","sgNfe2l2_g2_rep1","sgNfe2l2_g2_rep2","sgNfe2l2_g2_rep3","doubleKO_g1_rep1","doubleKO_g1_rep2","doubleKO_g1_rep3","doubleKO_g2_rep1","doubleKO_g2_rep2","doubleKO_g2_rep3"
"Tram1",36.7147426424816,53.8942521175845,59.3728005706527,47.0948601256781,48.2137901557531,56.1121405706703,54.5603039809085,53.1203894167391,52.2679984815034,61.7564178777757,63.5948347211924,48.0457146289167,39.5833409181043,61.4500105967526,50.0775835875192,49.6913480250709,61.8446148217731,46.1550079867262,49.8870497314735,45.3028970035723,60.8089752798151,47.8114613323265,42.2639342294984
"Lactb2",6.99328431285365,6.41598239495054,6.85070775815223,10.7645394572979,16.6254448812942,11.4514572593205,5.74318989272721,6.37444673000869,14.126486076082,11.5793283520829,6.35948347211924,9.41101626751976,8.48214448245091,6.92394485597213,10.8275856405447,10.5726272393768,11.0766474307653,14.423439995852,0,7.07857765680817,1.68913820221709,5.5167070768069,6.81676358540297
"Terf1",8.74160539106706,5.13278591596043,13.7014155163045,10.7645394572979,19.950533857553,4.58058290372819,20.1011646245452,10.6240778833478,2.8252972152164,19.2988805868049,6.35948347211924,9.90633291317869,5.65476298830061,7.78943796296864,8.57183863209788,7.40083906756375,9.23053952563777,18.7504719946075,9.18971968737669,9.91000871953143,3.37827640443417,16.5501212304207,10.9068217366448
"Rpl7",561.211066106505,681.377330343747,422.460311752721,579.939563261922,635.091994465437,527.912179654674,559.961014540903,628.945410694191,504.315552916128,611.774514601715,616.869896795566,768.236117417008,679.985249343148,771.154358333896,877.485586285809,638.586685258358,760.596456912553,738.48012778762,677.413622669482,838.103594566087,898.62152357949,604.998876089824,809.831513945873
"Stau2",8.74160539106706,11.548768310911,6.85070775815223,13.4556743216223,13.3003559050353,12.5966029852525,5.74318989272721,12.7488934600174,8.47589164564921,5.78966417604147,16.958622592318,6.43911639356615,9.89583522952606,7.78943796296864,12.6321832473021,8.45810179150143,7.38443162051022,8.65406399751117,11.81535388377,14.1571553136163,10.1348292133025,5.5167070768069,4.09005815124178
"Ube2w",54.1979534246158,56.4606450755647,38.820677296196,37.6758881005425,56.5265125964001,58.4024320225344,77.5330635518173,65.8692828767565,67.8071331651937,73.3357462298586,40.2767286567552,71.8209136205455,46.65179465348,69.2394485597213,79.8534440990171,51.8058734729463,71.9982082999746,59.136103982993,48.5742326332768,38.2243193467641,82.7677719086372,64.3615825627472,59.9875195515461
"Eloc",222.036776933103,261.772081713982,212.371940502719,273.150188728933,275.982385029483,258.802934060643,166.552506889089,265.601947083696,241.562911901002,196.84858198541,269.218133653048,307.09632030854,286.979221656256,302.922587448781,301.367800328494,306.606189941927,285.223671342207,285.584111917869,291.445395799661,369.501753685386,368.232128083325,272.157549122474,334.021415684746
"Tmem70",12.2382475474939,17.9647507058615,13.7014155163045,21.5290789145957,16.6254448812942,24.048060244573,11.4863797854544,19.1233401900261,7.06324303804101,11.5793283520829,29.6775895365564,20.3079824720163,18.377979711977,15.5788759259373,26.166665297983,19.0307290308782,22.1532948615307,18.7504719946075,17.0666222765567,25.4828795645094,27.0262112354734,27.5835353840345,20.4502907562089
"Ly96",57.6945955810426,57.7438415545548,25.1192617798915,57.859399582976,41.5636122032354,59.5475777484665,25.8443545172724,44.6211271100609,64.9818359499773,54.0368656430537,42.3965564807949,78.2600300141117,39.5833409181043,57.9880381687666,79.8534440990171,78.2374415713882,61.8446148217731,66.347823980919,49.8870497314735,50.9657591290188,50.6741460665126,49.6503636912621,35.4471706440955
"Mcm3",8.74160539106706,10.2655718319209,2.28356925271741,10.7645394572979,4.98763346438825,6.87087435559229,11.4863797854544,6.37444673000869,12.7138374684738,7.71955223472196,8.47931129615898,9.41101626751976,14.1369074707515,10.3859172839582,6.76724102534043,3.17178817181304,5.53832371538266,5.76937599834078,22.3178906693434,7.07857765680817,8.44569101108543,9.19451179467817,8.18011630248357
