"","sgCtrl_g1_rep1","sgCtrl_g1_rep2","sgCtrl_g1_rep3","sgCtrl_g2_rep1","sgCtrl_g2_rep2","sgCtrl_g2_rep3","sgNfe2l1_g1_rep1","sgNfe2l1_g1_rep2","sgNfe2l1_g1_rep3","sgNfe2l1_g2_rep1","sgNfe2l1_g2_rep2","sgNfe2l1_g2_rep3","sgNfe2l2_g1_rep1","sgNfe2l2_g1_rep2","sgNfe2l2_g1_rep3","sgNfe2l2_g2_rep1","sgNfe2l2_g2_rep2","sgNfe2l2_g2_rep3","doubleKO_g1_rep1","doubleKO_g1_rep2","doubleKO_g1_rep3","doubleKO_g2_rep1","doubleKO_g2_rep2","doubleKO_g2_rep3"
"1700048O20Rik",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1
"Gask1a",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pomgnt2",0,0,1,0,1,1,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0
"Gm39463",0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1
"Gm47117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm39465",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm39464",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Snrk",2,6,17,5,9,7,7,4,2,9,8,8,17,16,18,39,17,25,10,13,9,10,16,12
"Gm47121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ano10",3,9,5,1,12,6,10,1,6,5,5,2,23,8,17,24,11,13,3,8,7,3,5,11
"Gm26797",5,7,5,7,5,3,6,3,3,4,6,3,11,6,5,12,6,6,5,3,3,1,7,5
"Gm47126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abhd5",4,16,28,5,22,23,34,10,9,23,12,9,67,18,33,55,30,37,15,15,25,18,13,20
"A730085K08Rik",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,1
"Gm47128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm35454",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm47131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm47133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9530059O14Rik",2,5,2,4,1,0,5,2,5,3,6,3,6,3,2,9,4,7,1,2,1,3,3,0
"Gm47134",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Gm35501",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm47136",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"Topaz1",1,0,0,0,2,0,2,1,0,2,1,0,5,3,2,8,3,3,1,1,0,4,0,1
"Tcaim",0,2,1,0,1,2,5,0,0,1,2,0,4,1,0,3,1,1,1,4,0,3,0,0
"Gm35549",0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"Zfp445",6,4,15,10,8,18,25,7,10,19,9,13,45,12,19,53,13,14,13,13,12,6,8,8
"Gm47140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A530083I20Rik",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"Zkscan7",0,2,1,0,1,1,0,0,2,0,0,0,2,2,1,1,1,0,0,1,0,0,0,1
"Zfp105",0,0,1,0,0,0,1,0,0,1,1,0,2,2,0,1,1,2,1,1,1,1,0,0
"1110059G10Rik",5,9,27,13,13,10,25,1,16,21,14,7,50,15,27,55,18,23,16,16,18,21,3,18
"Kif15",0,2,6,3,1,3,3,2,1,3,3,1,8,8,6,3,4,3,5,4,6,1,2,4
"Gm9856",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0
"Tmem42",1,0,0,1,3,2,0,0,1,0,0,1,0,0,4,1,1,0,0,2,0,0,1,0
"Tgm4",0,1,1,2,0,0,0,0,0,1,1,0,2,1,1,3,2,1,1,3,1,0,2,6
"Zdhhc3",6,11,23,9,22,14,21,1,8,17,14,8,31,20,26,56,19,21,14,13,16,12,10,15
"Exosc7",4,12,16,7,14,8,23,12,10,12,18,2,40,7,20,25,18,24,8,20,12,6,13,17
"Clec3b",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cdcp1",1,0,1,0,2,1,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
"Tmem158",0,1,1,0,0,0,2,0,0,0,0,0,0,1,1,2,1,1,1,0,0,0,1,1
"Gm47162",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lars2",16,15,17,17,35,10,27,18,7,27,25,17,56,31,30,65,81,41,22,56,30,4,23,16
"Limd1",13,25,28,14,26,18,34,13,19,26,17,14,79,23,34,94,34,33,21,32,25,22,27,32
"Sacm1l",7,17,11,7,20,12,22,7,13,10,15,9,39,11,21,49,12,18,15,13,11,10,13,13
"Slc6a20b",0,0,1,0,0,2,2,0,1,0,2,4,2,0,4,1,0,1,2,3,0,0,3,2
"Slc6a20a",1,0,3,1,1,0,1,0,0,0,0,0,2,1,0,1,0,0,1,0,2,0,1,1
"Gm17120",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Gm17200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ccr9",0,2,2,0,3,2,1,0,2,0,0,1,5,0,2,5,2,2,0,0,2,1,0,3
"Lztfl1",8,41,55,26,50,44,66,23,33,44,32,37,174,51,79,188,50,81,37,39,33,32,25,36
"Gm17021",1,1,0,0,0,1,0,0,0,2,2,1,6,4,2,5,0,0,1,0,0,0,0,1
"Fyco1",6,13,21,11,14,14,38,19,19,31,17,16,65,19,33,100,38,40,18,21,27,16,19,8
"Cxcr6",1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,3,2,0,0,0,0,0,0,0
"Xcr1",0,1,1,0,0,1,0,0,0,1,1,0,4,0,2,1,1,1,0,0,0,0,0,0
"Ccr1",14,54,88,27,97,57,191,59,61,97,91,71,268,47,154,254,110,99,75,82,65,70,63,67
"Ccr1l1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ccr3",0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1
"Ccr2",5,5,9,12,10,10,9,5,6,9,7,3,35,18,22,40,18,18,9,8,19,8,5,15
"Ccr5",43,89,83,61,116,72,89,49,65,87,65,42,236,97,143,270,138,140,99,89,84,82,89,80
"Gm39469",3,12,20,13,17,14,33,4,15,17,10,15,67,11,20,47,19,21,10,15,13,12,10,11
"2010315B03Rik",4,3,5,1,9,3,10,2,4,6,4,2,21,3,4,29,10,7,5,6,1,4,5,2
"Gm47181",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ppp2r3d",6,0,3,3,6,3,7,4,7,6,1,1,10,7,8,5,6,5,5,4,5,5,3,6
"Gm21836",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9230019H11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B020014A21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H60c",0,0,0,0,0,0,3,0,0,1,0,0,1,0,1,3,4,1,2,4,0,1,1,1
"Ppp1r14c",0,1,0,0,2,0,1,0,0,0,0,0,2,0,0,1,1,1,1,1,0,0,0,1
"Iyd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plekhg1",11,38,48,19,32,32,59,19,30,40,26,29,89,26,65,105,54,52,33,30,33,26,19,32
"Mthfd1l",0,6,3,1,5,5,9,2,3,6,5,5,19,0,8,26,8,10,4,8,8,5,3,10
"Gm30570",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Akap12",6,2,7,7,6,4,12,4,4,6,4,3,17,8,11,20,12,12,7,7,6,3,4,4
