"","sgNfe2l1","sgNfe2l2","doubleKO"
"Mfsd4a",0,0,0
"Cdk18",0,0,0
"Nuak2",0,0,0
"Dstyk",0,0,0
"Rbbp5",0,0,0
"Mdm4",0,0,0
"Ppp1r15b",0,0,0
"Plekha6",0,0,0
"Snrpe",0,0,0
"Atp2b4",0,0,0
"Btg2",0,0,0
"Tmem183a",0,0,0
"Cyb5r1",0,0,0
"Adipor1",0,0,0
"Klhl12",0,0,0
"Rabif",0,0,0
"Kdm5b",0,0,0
"Ppp1r12b",0,0,0
"Ptpn7",0,0,0
"Arl8a",0,0,0
"Gm4204",0,0,0
"Rnpep",0,0,0
"Timm17a",0,0,0
"Ipo9",0,0,0
"Nav1",0,0,0
"Gm38399",0,0,0
"Csrp1",0,0,0
"Tmem9",0,0,0
"Kif21b",0,0,0
"Camsap2",0,0,0
"Ddx59",0,0,0
"Zfp281",0,0,0
"Gm4258",0,-1,0
"Ptprc",0,0,0
"Nek7",0,0,0
"2310009B15Rik",0,0,0
"Dennd1b",0,0,0
"Gm5835",0,0,0
"Cdc73",0,0,0
"Glrx2",0,0,0
"Trove2",0,0,0
"Uchl5",0,0,0
"Rgs2",0,1,0
"Rgs13",0,0,0
"Rgs1",0,1,0
"Gm7266",0,0,0
"Pla2g4a",0,0,0
"Ptgs2",-1,0,0
"Ptgs2os2",0,0,0
"Odr4",0,0,0
"Tpr",0,0,0
"Ivns1abp",0,0,0
"Swt1",0,0,0
"Trmt1l",0,0,0
"Rnf2",0,0,0
"Gm29072",0,0,0
"Fam129a",0,1,1
"Edem3",0,0,0
"1700025G04Rik",0,0,0
"Tsen15",0,0,0
"Rgl1",0,0,0
"Arpc5",0,0,0
"Ncf2",0,0,0
"Smg7",0,0,0
"Lamc1",0,0,0
"Gm8818",0,0,0
"E330020D12Rik",0,0,0
"Dhx9",0,0,0
"Npl",0,0,0
"Rnasel",0,0,0
"Glul",0,0,0
"Ier5",0,0,0
"Mr1",0,0,0
"Stx6",0,0,0
"Xpr1",0,0,0
"Acbd6",0,0,0
"Qsox1",0,0,0
"Cep350",0,0,0
"Tor1aip1",0,0,0
"Tor1aip2",0,0,0
"Gm2000",0,0,1
"Soat1",0,-1,-1
"Abl2",0,0,0
"Tor3a",0,0,0
"Fam20b",0,0,0
"Rasal2",0,0,0
"2810025M15Rik",0,0,0
"Cryzl2",0,0,0
"Cop1",0,0,0
"4930523C07Rik",0,0,0
"Tnn",0,0,0
"Mrps14",0,0,0
"Cacybp",0,0,0
"Rabgap1l",0,0,0
"Rc3h1",0,0,0
"Gas5",0,0,1
"Dars2",0,0,0
"Klhl20",0,0,0
"Prdx6",1,0,0
"Tnfsf4",0,1,1
"Tnfsf18",0,0,0
"Suco",0,0,0
"Gm38304",0,0,0
"Dnm3",0,0,0
"Vamp4",0,0,0
"Prrc2c",0,0,0
"Kifap3",0,0,0
"Scyl3",0,0,0
"Blzf1",0,0,0
"Nme7",0,0,0
"D630023O14Rik",0,0,0
"Sft2d2",0,0,0
"Tiprl",0,0,0
"Dcaf6",0,0,0
"Mpc2",0,0,0
"Creg1",0,-1,-1
"Cd247",0,0,0
"Pou2f1",0,0,0
"Tada1",0,0,0
"Pogk",0,0,0
"Fam78b",0,0,0
"Uck2",0,0,0
"Gm37982",0,0,0
"Tmco1",0,0,0
"Aldh9a1",0,0,0
"Mgst3",0,0,0
"Pbx1",0,0,0
"Hsd17b7",0,0,0
"Uap1",0,0,0
"Uhmk1",0,0,0
"Sh2d1b1",0,0,0
"Nos1ap",0,0,0
"Atf6",0,0,0
"Dusp12",0,0,0
