"","sgNfe2l1","sgNfe2l2","doubleKO"
"Pon2",-0.506572910535858,-0.23689041687363,-0.259691967804716
"Rpa3",0.420140787553825,0.793996719874882,1.11535887560675
"Ndufa4",0.513709219360276,-0.259525488309702,-0.169264807601332
"Tfec",0.873026434246158,0.0304250850508758,-0.328996648801348
"Gm15581",0.882396996340658,0.0111625114031195,-0.707868616572624
"Copg2",0.901391337240829,0.995668628097169,0.366836743281329
"Akr1b10",1.51872728575876,0.99919383292235,0.0686187539575265
"Ssbp1",0.413562409509114,0.643546446959129,0.539446214079612
"Clec5a",0.0285247994168882,0.516691641732938,0.148246736919469
"Pdia4",0.605499971132153,0.281262979845744,0.143951207014172
"Tra2a",-0.524461729055695,-0.32498309164769,-0.31601748457947
"Npy",-0.0371841050055108,0.53230989384767,0.431983268147492
"Tnip3",0.248583343792625,0.63313053665996,0.321303272220678
"Rnf181",0.744377353020312,0.463128693364314,0.260524154690351
"Mthfd2",0.0741746145659805,0.764815521913595,0.544443982004876
"Mgll",-0.134576932160195,-0.398602294651146,-0.581574652501469
"Plxna1",-0.405095615841596,-0.566715824174341,-0.609332829572486
"Frmd4b",-0.78288999646489,0.2323480461205,-0.182888820978149
"Foxp1",-1.02247334058401,-0.321527964763581,-0.194906217788766
"Irak2",-0.820864656199719,-0.501540058988128,-0.437314414519953
"Rpl32",0.152319852544178,0.408410963644599,0.500716829219495
"Gm44148",0.813398472146751,0.0787564126740934,-0.187101149122647
"C3ar1",0.677803007794562,0.427199497776911,0.108501473432819
"Clec4n",0.784943187887091,0.00720099924720508,-0.0292544600931262
"Emg1",0.802639269695145,0.813900786992067,1.22500801618268
"Ptms",-0.821399630936992,-0.304766818808588,-0.335030583116996
"Ccnd2",-0.527976419326919,0.51144269408943,0.400360994493166
"Clec7a",0.366983201630932,0.523589418120109,0.243637577576774
"Olr1",0.883417859156278,0.691565833975289,0.478694616051568
"Tarm1",-0.294457791776552,-0.551548967347731,-0.407661273427952
"Leng9",-1.18757013841278,-1.18393621930587,-1.80095518556105
"C5ar1",-0.503616617182719,-0.0660337236647184,0.0726884754812271
"Rps19",0.0868408878895242,0.551983087840695,0.493349074346972
"Axl",-0.543845848890802,-0.0300379370241508,-0.083197352846641
"Blvrb",0.28058661258623,-0.983756373386893,-0.777757273151519
"Rps16",0.0141988026121549,0.294492006827614,0.505483594632166
"Hamp",-1.51677381870283,-0.463119896101288,-0.24709538635342
"Fxyd5",0.141838672548074,0.554112809895491,0.337203007473827
"Ccne1",-0.525801888060048,-0.357075290019587,-0.889620316341869
"Klk1b1",-0.164192733267425,0.871251445508618,0.322055236797277
"Klk1b9",-0.810177700707905,1.3046947816143,0.545066787945616
"Klk1b11",-0.674924686696983,0.912632728245668,0.438543124578847
"Napsa",-0.0920075724133991,0.623993640755452,0.277431021265636
"Il4i1",0.479731088139117,1.40170816551437,1.09129757562115
"Rps11",0.0816216285676763,0.584904553672965,0.70976623086788
"Gm10252",0.303651167772846,-1.09435706394688,-1.61513787246314
"Saa3",-1.13306368636884,0.30031049512775,0.302987170170485
"Gm10974",0.629868115374519,0.844770112775584,0.397554996898147
"Abhd2",-0.539161775711913,-0.77139058384351,-0.377838732289035
"Prc1",0.524295861373094,1.0876426012813,0.801724286220367
"Furin",-0.592305641791977,-0.411097409669627,-0.266388062368208
"Tmem126a",0.581029676793539,0.264163049005145,-0.0594938921484154
"Trim30c",-0.470398741461718,-0.312015464982111,-0.516228697142575
"Eif3f",0.069737723323299,0.471634356749515,0.527295064563203
"Rps15a",-0.0605007592910738,0.546396703081427,0.627405735421672
"Gde1",-0.0496515136990618,-0.579650694480773,-0.246290483870687
"Uqcrc2",0.356462452729057,0.596257630604137,0.475742439139698
"Ifitm1",-0.0240135496651845,0.680515772126507,0.593405045800001
"Ifitm3",-0.24727031924925,0.671844445153662,0.463323324725604
"Lsp1",-0.241465557703648,0.540766796070079,0.540378973481403
"Kcnq1ot1",1.11804548381834,0.0687800376947734,-0.0696816421142863
"Tnfrsf26",0.968177509697768,-0.0316137464876105,-0.369956850734198
"Ppil4",0.121986564966596,0.803234252845645,0.462722906713835
"Adgrg6",0.0959225882548784,0.875623625752476,0.725728958151922
"Gm20139",-1.72274315745894,-0.487736988579858,-1.20240597765835
"Sgk1",-0.127894473688233,-0.573704261382002,-0.56794139191417
"Fyn",-0.0270652262541278,0.703204901033727,0.550111356599089
"Gm35154",-0.737995753844044,0.202223306777573,-0.0375729715791673
"Gm40645",1.1178870316738,0.451861876162666,-0.433827449460249
"Pkib",0.403848192096826,0.699290974330117,0.705361656196693
"Fabp7",0.994256171971691,0.63427381418854,0.944546178176471
"Gm5424",1.21995162767095,1.88805902810967,1.32784915899212
"Srgn",0.0570974050503636,0.53473759003883,0.366591201736099
"Sirt1",-0.8293717473672,-0.24563119089084,-0.492661856716849
"1110002J07Rik",-0.0411036822110851,1.02829466634687,1.35502974595959
"Cdk1",-0.285277873925157,0.766097235741085,0.840176709930776
"Pfkl",-1.39024593567092,-1.26965819306503,-0.282521311770993
"Gna15",0.22225119553668,-0.320857276125389,-0.784767022133369
"Txnrd1",0.454539235132298,-0.639898535264184,-0.742658157732135
"Chst11",0.349808264383155,0.53679398674228,0.519171609347207
"Gm33843",0.3933301289828,1.08756652127667,1.53389775190918
"Btg1",-0.51660539858185,0.0587975171011124,0.106344139430691
"Nts",0.195982796978182,0.808973833148008,0.828505747091159
"Lyz1",0.462863192017572,0.737096131082613,0.37441013433696
"Os9",-0.365522630769505,-0.0728152011694041,-0.538113956255752
"Naca",0.101352106654197,0.570785621474288,0.591455002209997
"Gm47093",-0.133598072974466,-2.19032511050511,-1.76353542520017
"Mmp19",0.650963997123609,-0.530282439245161,-0.677707812760828
"Mcemp1",-0.0876789528685284,0.572520191503068,0.482242157877121
"Alg11",1.42101461720038,0.866254538217166,1.09256951639012
"Fgfr1",-0.494417751245243,-1.34488954247821,-0.506316993436874
"Hgsnat",0.51731996658597,0.371880536105263,0.81227112671088
"Nrg1",0.394654691473362,0.707303134238974,0.446273149348434
"Gsr",-0.2579713907024,-0.863260740024549,-0.676696464094038
"Mtus1",0.548130645480276,0.403623992869258,0.31482109569098
"Hmgb2",-0.258741169425692,0.61437723230191,0.435390410108877
"Palld",0.40199133457684,0.78850027347949,0.848942116835046
"Rpl18a",-0.0472267143598799,0.655395677521921,0.628474013999479
"Use1",0.296983103761622,0.407857409976372,0.868622295680788
"Hmox1",0.767876897347708,-0.394338902389286,-0.393273474396188
"Anapc10",0.510827820944439,0.701476578706754,0.200594670832775
"Tecr",0.333741764361942,0.570164843556827,0.451308938109727
"Ccl22",-0.436293592938778,0.796800622995118,0.95748186217082
"Ccl17",0.219428791187491,0.980663640597253,1.0950921207043
"Terb1",-0.517895471418758,-0.562134787233969,-0.598017617535767
"Hp",-0.651031604174642,0.82038465304901,0.978882757497866
"Znrf1",-0.530496746454534,-0.394892589272839,-0.769163985750443
"Nrp1",0.0449902411799021,-0.488240741942427,-0.615561271055978
"Gm21399",1.03488988880236,-0.380769326048888,-0.286313925613165
"Rps24",0.0876056649461816,0.200263260873809,0.604712054302679
"Sh3bp5",-0.621224719216597,-0.264954415783968,-0.335456994356139
"Gm1821",0.769786046765088,0.994780680683697,0.670365129387946
"Phf11b",-0.0965881422044452,0.550406322771368,0.44414796794835
"Ptk2b",-0.295221447689577,-0.48937440659023,-0.684134173064876
"Rcbtb2",0.700790209071391,0.362723116804493,0.26884307618228
"Esd",0.612995889139281,-0.336177203729306,-0.409037688949519
"Gm49017",1.23447587280028,1.83316095261021,1.96179920162181
"Rap2a",-0.688375922636187,-0.124442100647562,-0.405898171593281
"Mmp12",0.587218686111493,0.0893900861442436,0.0318481355777838
"Mmp8",0.653536263516834,0.214087094361386,0.0774434014273737
"Tmem123",0.0133812515755141,0.489092079445462,1.10089879326089
"Endod1",-1.09113680385356,-0.583699484906565,-0.417640752990929
"Acp5",0.708317905922737,0.343790194909767,0.136876253233265
