"","sgCtrl_g1_rep2","sgCtrl_g1_rep3","sgCtrl_g2_rep2","sgCtrl_g2_rep3","sgNfe2l1_g1_rep1","sgNfe2l1_g1_rep2","sgNfe2l1_g1_rep3","sgNfe2l1_g2_rep2","sgNfe2l1_g2_rep3","sgNfe2l2_g1_rep1","sgNfe2l2_g1_rep2","sgNfe2l2_g1_rep3","sgNfe2l2_g2_rep1","sgNfe2l2_g2_rep2","sgNfe2l2_g2_rep3","doubleKO_g1_rep1","doubleKO_g1_rep2","doubleKO_g1_rep3","doubleKO_g2_rep1","doubleKO_g2_rep2","doubleKO_g2_rep3"
"Edc4",18.0148624421389,8.78517873867034,20.2475371373104,18.7970620914109,3.96513153994432,9.73581826324994,26.9851987815781,15.3443183697741,7.30251767556247,14.0976743230827,8.30257832243356,12.8164507572377,11.9689669293181,13.2095243450917,8.50002143777022,11.8555045727849,18.0995715592852,16.4368127493197,11.4751131238715,12.5461193530582,18.8984456712986
"Pskh1",12.0099082947593,4.39258936933517,14.0175257104456,3.75941241828218,6.60855256657387,3.24527275441665,19.625599113875,8.76818192558522,14.6050353511249,7.89469762092634,4.98154699346013,6.90116579235875,10.9281871963339,16.8121218937531,4.25001071888511,15.2427915935806,9.0497857796426,3.28736254986394,15.3001508318287,10.4550994608818,1.57487047260822
"Psmb10",192.158532716148,188.881342881412,227.395417080563,186.090914704968,163.892103651032,146.037273948749,196.25599113875,111.794319551212,175.260424213499,164.096929120683,212.546005054299,171.543263981489,190.462691136105,188.535938379946,168.937926075683,152.427915935806,176.470822703031,147.931314743877,139.613876340437,161.00853169758,233.080829946016
"Slc12a4",12.0099082947593,7.32098228222529,4.67250857014854,7.51882483656436,6.60855256657387,3.24527275441665,19.625599113875,8.76818192558522,2.43417255852082,9.58641853969627,9.96309398692027,2.95764248243947,9.36701759685761,1.20086584955379,9.5625241174915,6.77457404159136,4.5248928898213,13.1494501994558,11.4751131238715,6.27305967652909,9.44922283564932
"Ddx28",6.00495414737964,2.92839291289011,10.9025199970133,5.63911862742327,3.96513153994432,6.49054550883329,0,6.57613644418891,12.1708627926041,7.33079064800303,4.98154699346013,4.92940413739911,8.84662773036552,6.00432924776897,5.31251339860639,5.08093053119352,3.01659525988087,8.21840637465986,5.73755656193576,6.27305967652909,3.14974094521644
"Nfatc3",34.0280735018179,32.2123220417913,18.6900342805942,22.5564745096931,15.8605261597773,12.9810910176666,14.7191993354063,21.920454813963,17.0392079096458,30.4509765378587,28.2287662962741,28.5905439969148,37.4680703874304,34.82510963706,22.3125562741468,23.7110091455698,49.7738217880343,27.9425816738435,28.6877828096788,20.9101989217636,23.6230570891233
"Pla2g15",20.0165138245988,30.7481255853462,26.4775485641751,18.7970620914109,25.1124997529807,22.7169092809165,29.4383986708125,28.496591258152,41.380933494854,15.7893952418527,19.9261879738405,18.7317357221166,19.7748149266994,10.8077926459842,19.125048234983,10.161861062387,12.0663810395235,26.2989003989116,7.65007541591435,16.7281591374109,25.1979275617315
"Slc7a6os",10.0082569122994,11.7135716515605,3.11500571343236,7.51882483656436,7.93026307988864,6.49054550883329,7.35959966770313,4.38409096279261,4.86834511704164,10.1503255126196,8.30257832243356,1.97176165495964,7.28545813088925,9.60692679643036,9.5625241174915,11.8555045727849,4.5248928898213,9.86208764959183,0,18.8191790295873,18.8984456712986
"Prmt7",10.0082569122994,5.85678582578023,12.4600228537295,13.1579434639876,14.5388156464625,12.9810910176666,14.7191993354063,8.76818192558522,17.0392079096458,11.8420464313895,14.9446409803804,15.7740932396772,11.448577062826,13.2095243450917,11.6875294769341,3.38728702079568,13.5746786694639,16.4368127493197,9.56259426989294,10.4550994608818,11.0240933082575
"Zfp90",2.00165138245988,7.32098228222529,7.78751428358091,5.63911862742327,7.93026307988864,3.24527275441665,12.2659994461719,13.1522728883778,4.86834511704164,6.20297670215641,8.30257832243356,14.7882124121973,7.28545813088925,8.40606094687656,8.50002143777022,8.4682175519892,7.54148814970217,4.93104382479592,7.65007541591435,12.5461193530582,6.29948189043288
"Gm10073",56.0462387088766,55.6394653449122,57.6276056984987,18.7970620914109,38.3296048861284,38.9432730529997,29.4383986708125,41.6488641465298,34.0784158192915,25.3758137815489,46.4944386056279,36.4775906167534,35.9069007879542,28.8207803892911,25.5000643133107,42.341087759946,39.2157383784513,31.2299442237075,21.0377073937645,35.5473381669982,48.8209846508548
"Cdh1",18.0148624421389,1.46419645644506,7.78751428358091,9.39853104570545,10.5736841065182,12.9810910176666,9.81279955693751,8.76818192558522,2.43417255852082,6.76688367507972,8.30257832243356,6.90116579235875,7.80584799738134,3.60259754866138,5.31251339860639,1.69364351039784,10.558083409583,3.28736254986394,7.65007541591435,2.09101989217636,14.173834253474
"Utp4",8.00660552983951,5.85678582578023,12.4600228537295,1.87970620914109,11.895394619833,6.49054550883329,17.1723992246406,6.57613644418891,7.30251767556247,10.7142324855429,4.98154699346013,5.91528496487893,10.4077973298418,6.00432924776897,9.5625241174915,13.5491480831827,15.0829762994043,8.21840637465986,17.2126696858073,18.8191790295873,11.0240933082575
